1.

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
Neena Kochhar                                          90        130 Corporate Tax                         1700
Lex De Haan                                            90        130 Corporate Tax                         1700
Alexander Hunold                                       60        130 Corporate Tax                         1700
Bruce Ernst                                            60        130 Corporate Tax                         1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
David Austin                                           60        130 Corporate Tax                         1700
Valli Pataballa                                        60        130 Corporate Tax                         1700
Diana Lorentz                                          60        130 Corporate Tax                         1700
Nancy Greenberg                                       100        130 Corporate Tax                         1700
Daniel Faviet                                         100        130 Corporate Tax                         1700
John Chen                                             100        130 Corporate Tax                         1700
Ismael Sciarra                                        100        130 Corporate Tax                         1700
Jose Manuel Urman                                     100        130 Corporate Tax                         1700
Luis Popp                                             100        130 Corporate Tax                         1700
Den Raphaely                                           30        130 Corporate Tax                         1700
Alexander Khoo                                         30        130 Corporate Tax                         1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Shelli Baida                                           30        130 Corporate Tax                         1700
Sigal Tobias                                           30        130 Corporate Tax                         1700
Guy Himuro                                             30        130 Corporate Tax                         1700
Karen Colmenares                                       30        130 Corporate Tax                         1700
Matthew Weiss                                          50        130 Corporate Tax                         1700
Adam Fripp                                             50        130 Corporate Tax                         1700
Payam Kaufling                                         50        130 Corporate Tax                         1700
Shanta Vollman                                         50        130 Corporate Tax                         1700
Kevin Mourgos                                          50        130 Corporate Tax                         1700
Julia Nayer                                            50        130 Corporate Tax                         1700
Irene Mikkilineni                                      50        130 Corporate Tax                         1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
James Landry                                           50        130 Corporate Tax                         1700
Steven Markle                                          50        130 Corporate Tax                         1700
Laura Bissot                                           50        130 Corporate Tax                         1700
Mozhe Atkinson                                         50        130 Corporate Tax                         1700
James Marlow                                           50        130 Corporate Tax                         1700
TJ Olson                                               50        130 Corporate Tax                         1700
Jason Mallin                                           50        130 Corporate Tax                         1700
Michael Rogers                                         50        130 Corporate Tax                         1700
Ki Gee                                                 50        130 Corporate Tax                         1700
Hazel Philtanker                                       50        130 Corporate Tax                         1700
Renske Ladwig                                          50        130 Corporate Tax                         1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Stephen Stiles                                         50        130 Corporate Tax                         1700
John Seo                                               50        130 Corporate Tax                         1700
Joshua Patel                                           50        130 Corporate Tax                         1700
Trenna Rajs                                            50        130 Corporate Tax                         1700
Curtis Davies                                          50        130 Corporate Tax                         1700
Randall Matos                                          50        130 Corporate Tax                         1700
Peter Vargas                                           50        130 Corporate Tax                         1700
John Russell                                           80        130 Corporate Tax                         1700
Karen Partners                                         80        130 Corporate Tax                         1700
Alberto Errazuriz                                      80        130 Corporate Tax                         1700
Gerald Cambrault                                       80        130 Corporate Tax                         1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Eleni Zlotkey                                          80        130 Corporate Tax                         1700
Peter Tucker                                           80        130 Corporate Tax                         1700
David Bernstein                                        80        130 Corporate Tax                         1700
Peter Hall                                             80        130 Corporate Tax                         1700
Christopher Olsen                                      80        130 Corporate Tax                         1700
Nanette Cambrault                                      80        130 Corporate Tax                         1700
Oliver Tuvault                                         80        130 Corporate Tax                         1700
Janette King                                           80        130 Corporate Tax                         1700
Patrick Sully                                          80        130 Corporate Tax                         1700
Allan McEwen                                           80        130 Corporate Tax                         1700
Lindsey Smith                                          80        130 Corporate Tax                         1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Louise Doran                                           80        130 Corporate Tax                         1700
Sarath Sewall                                          80        130 Corporate Tax                         1700
Clara Vishney                                          80        130 Corporate Tax                         1700
Danielle Greene                                        80        130 Corporate Tax                         1700
Mattea Marvins                                         80        130 Corporate Tax                         1700
David Lee                                              80        130 Corporate Tax                         1700
Sundar Ande                                            80        130 Corporate Tax                         1700
Amit Banda                                             80        130 Corporate Tax                         1700
Lisa Ozer                                              80        130 Corporate Tax                         1700
Harrison Bloom                                         80        130 Corporate Tax                         1700
Tayler Fox                                             80        130 Corporate Tax                         1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
William Smith                                          80        130 Corporate Tax                         1700
Elizabeth Bates                                        80        130 Corporate Tax                         1700
Sundita Kumar                                          80        130 Corporate Tax                         1700
Ellen Abel                                             80        130 Corporate Tax                         1700
Alyssa Hutton                                          80        130 Corporate Tax                         1700
Jonathon Taylor                                        80        130 Corporate Tax                         1700
Jack Livingston                                        80        130 Corporate Tax                         1700
Kimberely Grant                                                  130 Corporate Tax                         1700
Charles Johnson                                        80        130 Corporate Tax                         1700
Winston Taylor                                         50        130 Corporate Tax                         1700
Jean Fleaur                                            50        130 Corporate Tax                         1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Martha Sullivan                                        50        130 Corporate Tax                         1700
Girard Geoni                                           50        130 Corporate Tax                         1700
Nandita Sarchand                                       50        130 Corporate Tax                         1700
Alexis Bull                                            50        130 Corporate Tax                         1700
Julia Dellinger                                        50        130 Corporate Tax                         1700
Anthony Cabrio                                         50        130 Corporate Tax                         1700
Kelly Chung                                            50        130 Corporate Tax                         1700
Jennifer Dilly                                         50        130 Corporate Tax                         1700
Timothy Gates                                          50        130 Corporate Tax                         1700
Randall Perkins                                        50        130 Corporate Tax                         1700
Sarah Bell                                             50        130 Corporate Tax                         1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Britney Everett                                        50        130 Corporate Tax                         1700
Samuel McCain                                          50        130 Corporate Tax                         1700
Vance Jones                                            50        130 Corporate Tax                         1700
Alana Walsh                                            50        130 Corporate Tax                         1700
Kevin Feeney                                           50        130 Corporate Tax                         1700
Donald OConnell                                        50        140 Control And Credit                    1700
Douglas Grant                                          50        140 Control And Credit                    1700
Jennifer Whalen                                        10        140 Control And Credit                    1700
Michael Hartstein                                      20        140 Control And Credit                    1700
Pat Fay                                                20        140 Control And Credit                    1700
Susan Mavris                                           40        140 Control And Credit                    1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Hermann Baer                                           70        140 Control And Credit                    1700
Shelley Higgins                                       110        140 Control And Credit                    1700
William Gietz                                         110        140 Control And Credit                    1700
Steven King                                            90        140 Control And Credit                    1700
Neena Kochhar                                          90        140 Control And Credit                    1700
Lex De Haan                                            90        140 Control And Credit                    1700
Alexander Hunold                                       60        140 Control And Credit                    1700
Bruce Ernst                                            60        140 Control And Credit                    1700
David Austin                                           60        140 Control And Credit                    1700
Valli Pataballa                                        60        140 Control And Credit                    1700
Diana Lorentz                                          60        140 Control And Credit                    1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Nancy Greenberg                                       100        140 Control And Credit                    1700
Daniel Faviet                                         100        140 Control And Credit                    1700
John Chen                                             100        140 Control And Credit                    1700
Ismael Sciarra                                        100        140 Control And Credit                    1700
Jose Manuel Urman                                     100        140 Control And Credit                    1700
Luis Popp                                             100        140 Control And Credit                    1700
Den Raphaely                                           30        140 Control And Credit                    1700
Alexander Khoo                                         30        140 Control And Credit                    1700
Shelli Baida                                           30        140 Control And Credit                    1700
Sigal Tobias                                           30        140 Control And Credit                    1700
Guy Himuro                                             30        140 Control And Credit                    1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Karen Colmenares                                       30        140 Control And Credit                    1700
Matthew Weiss                                          50        140 Control And Credit                    1700
Adam Fripp                                             50        140 Control And Credit                    1700
Payam Kaufling                                         50        140 Control And Credit                    1700
Shanta Vollman                                         50        140 Control And Credit                    1700
Kevin Mourgos                                          50        140 Control And Credit                    1700
Julia Nayer                                            50        140 Control And Credit                    1700
Irene Mikkilineni                                      50        140 Control And Credit                    1700
James Landry                                           50        140 Control And Credit                    1700
Steven Markle                                          50        140 Control And Credit                    1700
Laura Bissot                                           50        140 Control And Credit                    1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Mozhe Atkinson                                         50        140 Control And Credit                    1700
James Marlow                                           50        140 Control And Credit                    1700
TJ Olson                                               50        140 Control And Credit                    1700
Jason Mallin                                           50        140 Control And Credit                    1700
Michael Rogers                                         50        140 Control And Credit                    1700
Ki Gee                                                 50        140 Control And Credit                    1700
Hazel Philtanker                                       50        140 Control And Credit                    1700
Renske Ladwig                                          50        140 Control And Credit                    1700
Stephen Stiles                                         50        140 Control And Credit                    1700
John Seo                                               50        140 Control And Credit                    1700
Joshua Patel                                           50        140 Control And Credit                    1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Trenna Rajs                                            50        140 Control And Credit                    1700
Curtis Davies                                          50        140 Control And Credit                    1700
Randall Matos                                          50        140 Control And Credit                    1700
Peter Vargas                                           50        140 Control And Credit                    1700
John Russell                                           80        140 Control And Credit                    1700
Karen Partners                                         80        140 Control And Credit                    1700
Alberto Errazuriz                                      80        140 Control And Credit                    1700
Gerald Cambrault                                       80        140 Control And Credit                    1700
Eleni Zlotkey                                          80        140 Control And Credit                    1700
Peter Tucker                                           80        140 Control And Credit                    1700
David Bernstein                                        80        140 Control And Credit                    1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Peter Hall                                             80        140 Control And Credit                    1700
Christopher Olsen                                      80        140 Control And Credit                    1700
Nanette Cambrault                                      80        140 Control And Credit                    1700
Oliver Tuvault                                         80        140 Control And Credit                    1700
Janette King                                           80        140 Control And Credit                    1700
Patrick Sully                                          80        140 Control And Credit                    1700
Allan McEwen                                           80        140 Control And Credit                    1700
Lindsey Smith                                          80        140 Control And Credit                    1700
Louise Doran                                           80        140 Control And Credit                    1700
Sarath Sewall                                          80        140 Control And Credit                    1700
Clara Vishney                                          80        140 Control And Credit                    1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Danielle Greene                                        80        140 Control And Credit                    1700
Mattea Marvins                                         80        140 Control And Credit                    1700
David Lee                                              80        140 Control And Credit                    1700
Sundar Ande                                            80        140 Control And Credit                    1700
Amit Banda                                             80        140 Control And Credit                    1700
Lisa Ozer                                              80        140 Control And Credit                    1700
Harrison Bloom                                         80        140 Control And Credit                    1700
Tayler Fox                                             80        140 Control And Credit                    1700
William Smith                                          80        140 Control And Credit                    1700
Elizabeth Bates                                        80        140 Control And Credit                    1700
Sundita Kumar                                          80        140 Control And Credit                    1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Ellen Abel                                             80        140 Control And Credit                    1700
Alyssa Hutton                                          80        140 Control And Credit                    1700
Jonathon Taylor                                        80        140 Control And Credit                    1700
Jack Livingston                                        80        140 Control And Credit                    1700
Kimberely Grant                                                  140 Control And Credit                    1700
Charles Johnson                                        80        140 Control And Credit                    1700
Winston Taylor                                         50        140 Control And Credit                    1700
Jean Fleaur                                            50        140 Control And Credit                    1700
Martha Sullivan                                        50        140 Control And Credit                    1700
Girard Geoni                                           50        140 Control And Credit                    1700
Nandita Sarchand                                       50        140 Control And Credit                    1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Alexis Bull                                            50        140 Control And Credit                    1700
Julia Dellinger                                        50        140 Control And Credit                    1700
Anthony Cabrio                                         50        140 Control And Credit                    1700
Kelly Chung                                            50        140 Control And Credit                    1700
Jennifer Dilly                                         50        140 Control And Credit                    1700
Timothy Gates                                          50        140 Control And Credit                    1700
Randall Perkins                                        50        140 Control And Credit                    1700
Sarah Bell                                             50        140 Control And Credit                    1700
Britney Everett                                        50        140 Control And Credit                    1700
Samuel McCain                                          50        140 Control And Credit                    1700
Vance Jones                                            50        140 Control And Credit                    1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Alana Walsh                                            50        140 Control And Credit                    1700
Kevin Feeney                                           50        140 Control And Credit                    1700
Donald OConnell                                        50        150 Shareholder Services                  1700
Douglas Grant                                          50        150 Shareholder Services                  1700
Jennifer Whalen                                        10        150 Shareholder Services                  1700
Michael Hartstein                                      20        150 Shareholder Services                  1700
Pat Fay                                                20        150 Shareholder Services                  1700
Susan Mavris                                           40        150 Shareholder Services                  1700
Hermann Baer                                           70        150 Shareholder Services                  1700
Shelley Higgins                                       110        150 Shareholder Services                  1700
William Gietz                                         110        150 Shareholder Services                  1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Steven King                                            90        150 Shareholder Services                  1700
Neena Kochhar                                          90        150 Shareholder Services                  1700
Lex De Haan                                            90        150 Shareholder Services                  1700
Alexander Hunold                                       60        150 Shareholder Services                  1700
Bruce Ernst                                            60        150 Shareholder Services                  1700
David Austin                                           60        150 Shareholder Services                  1700
Valli Pataballa                                        60        150 Shareholder Services                  1700
Diana Lorentz                                          60        150 Shareholder Services                  1700
Nancy Greenberg                                       100        150 Shareholder Services                  1700
Daniel Faviet                                         100        150 Shareholder Services                  1700
John Chen                                             100        150 Shareholder Services                  1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Ismael Sciarra                                        100        150 Shareholder Services                  1700
Jose Manuel Urman                                     100        150 Shareholder Services                  1700
Luis Popp                                             100        150 Shareholder Services                  1700
Den Raphaely                                           30        150 Shareholder Services                  1700
Alexander Khoo                                         30        150 Shareholder Services                  1700
Shelli Baida                                           30        150 Shareholder Services                  1700
Sigal Tobias                                           30        150 Shareholder Services                  1700
Guy Himuro                                             30        150 Shareholder Services                  1700
Karen Colmenares                                       30        150 Shareholder Services                  1700
Matthew Weiss                                          50        150 Shareholder Services                  1700
Adam Fripp                                             50        150 Shareholder Services                  1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Payam Kaufling                                         50        150 Shareholder Services                  1700
Shanta Vollman                                         50        150 Shareholder Services                  1700
Kevin Mourgos                                          50        150 Shareholder Services                  1700
Julia Nayer                                            50        150 Shareholder Services                  1700
Irene Mikkilineni                                      50        150 Shareholder Services                  1700
James Landry                                           50        150 Shareholder Services                  1700
Steven Markle                                          50        150 Shareholder Services                  1700
Laura Bissot                                           50        150 Shareholder Services                  1700
Mozhe Atkinson                                         50        150 Shareholder Services                  1700
James Marlow                                           50        150 Shareholder Services                  1700
TJ Olson                                               50        150 Shareholder Services                  1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Jason Mallin                                           50        150 Shareholder Services                  1700
Michael Rogers                                         50        150 Shareholder Services                  1700
Ki Gee                                                 50        150 Shareholder Services                  1700
Hazel Philtanker                                       50        150 Shareholder Services                  1700
Renske Ladwig                                          50        150 Shareholder Services                  1700
Stephen Stiles                                         50        150 Shareholder Services                  1700
John Seo                                               50        150 Shareholder Services                  1700
Joshua Patel                                           50        150 Shareholder Services                  1700
Trenna Rajs                                            50        150 Shareholder Services                  1700
Curtis Davies                                          50        150 Shareholder Services                  1700
Randall Matos                                          50        150 Shareholder Services                  1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Peter Vargas                                           50        150 Shareholder Services                  1700
John Russell                                           80        150 Shareholder Services                  1700
Karen Partners                                         80        150 Shareholder Services                  1700
Alberto Errazuriz                                      80        150 Shareholder Services                  1700
Gerald Cambrault                                       80        150 Shareholder Services                  1700
Eleni Zlotkey                                          80        150 Shareholder Services                  1700
Peter Tucker                                           80        150 Shareholder Services                  1700
David Bernstein                                        80        150 Shareholder Services                  1700
Peter Hall                                             80        150 Shareholder Services                  1700
Christopher Olsen                                      80        150 Shareholder Services                  1700
Nanette Cambrault                                      80        150 Shareholder Services                  1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Oliver Tuvault                                         80        150 Shareholder Services                  1700
Janette King                                           80        150 Shareholder Services                  1700
Patrick Sully                                          80        150 Shareholder Services                  1700
Allan McEwen                                           80        150 Shareholder Services                  1700
Lindsey Smith                                          80        150 Shareholder Services                  1700
Louise Doran                                           80        150 Shareholder Services                  1700
Sarath Sewall                                          80        150 Shareholder Services                  1700
Clara Vishney                                          80        150 Shareholder Services                  1700
Danielle Greene                                        80        150 Shareholder Services                  1700
Mattea Marvins                                         80        150 Shareholder Services                  1700
David Lee                                              80        150 Shareholder Services                  1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Sundar Ande                                            80        150 Shareholder Services                  1700
Amit Banda                                             80        150 Shareholder Services                  1700
Lisa Ozer                                              80        150 Shareholder Services                  1700
Harrison Bloom                                         80        150 Shareholder Services                  1700
Tayler Fox                                             80        150 Shareholder Services                  1700
William Smith                                          80        150 Shareholder Services                  1700
Elizabeth Bates                                        80        150 Shareholder Services                  1700
Sundita Kumar                                          80        150 Shareholder Services                  1700
Ellen Abel                                             80        150 Shareholder Services                  1700
Alyssa Hutton                                          80        150 Shareholder Services                  1700
Jonathon Taylor                                        80        150 Shareholder Services                  1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Jack Livingston                                        80        150 Shareholder Services                  1700
Kimberely Grant                                                  150 Shareholder Services                  1700
Charles Johnson                                        80        150 Shareholder Services                  1700
Winston Taylor                                         50        150 Shareholder Services                  1700
Jean Fleaur                                            50        150 Shareholder Services                  1700
Martha Sullivan                                        50        150 Shareholder Services                  1700
Girard Geoni                                           50        150 Shareholder Services                  1700
Nandita Sarchand                                       50        150 Shareholder Services                  1700
Alexis Bull                                            50        150 Shareholder Services                  1700
Julia Dellinger                                        50        150 Shareholder Services                  1700
Anthony Cabrio                                         50        150 Shareholder Services                  1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Kelly Chung                                            50        150 Shareholder Services                  1700
Jennifer Dilly                                         50        150 Shareholder Services                  1700
Timothy Gates                                          50        150 Shareholder Services                  1700
Randall Perkins                                        50        150 Shareholder Services                  1700
Sarah Bell                                             50        150 Shareholder Services                  1700
Britney Everett                                        50        150 Shareholder Services                  1700
Samuel McCain                                          50        150 Shareholder Services                  1700
Vance Jones                                            50        150 Shareholder Services                  1700
Alana Walsh                                            50        150 Shareholder Services                  1700
Kevin Feeney                                           50        150 Shareholder Services                  1700
Donald OConnell                                        50        160 Benefits                              1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Douglas Grant                                          50        160 Benefits                              1700
Jennifer Whalen                                        10        160 Benefits                              1700
Michael Hartstein                                      20        160 Benefits                              1700
Pat Fay                                                20        160 Benefits                              1700
Susan Mavris                                           40        160 Benefits                              1700
Hermann Baer                                           70        160 Benefits                              1700
Shelley Higgins                                       110        160 Benefits                              1700
William Gietz                                         110        160 Benefits                              1700
Steven King                                            90        160 Benefits                              1700
Neena Kochhar                                          90        160 Benefits                              1700
Lex De Haan                                            90        160 Benefits                              1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Alexander Hunold                                       60        160 Benefits                              1700
Bruce Ernst                                            60        160 Benefits                              1700
David Austin                                           60        160 Benefits                              1700
Valli Pataballa                                        60        160 Benefits                              1700
Diana Lorentz                                          60        160 Benefits                              1700
Nancy Greenberg                                       100        160 Benefits                              1700
Daniel Faviet                                         100        160 Benefits                              1700
John Chen                                             100        160 Benefits                              1700
Ismael Sciarra                                        100        160 Benefits                              1700
Jose Manuel Urman                                     100        160 Benefits                              1700
Luis Popp                                             100        160 Benefits                              1700

PERSONNAME                                            DID        DID DEPTNAME                       LOCATION_ID
---------------------------------------------- ---------- ---------- ------------------------------ -----------
Den Raphaely                                           30        160 Benefits                              1700
Alexander Khoo                                         30        160 Benefits                              1700
Shelli Baida                                           30        160 Benefits                              1700
Sigal Tobias                                           30        160 Benefits                              1700
Guy Himuro                                             30        160 Benefits                              1700
Karen Colmenares                                       30        160 Benefits                              1700
